Published Carrier,Flight Number,Origin,Destination,Departure Time,Arrival Time,Op Days,Elapsed Time,Distance (KM),Stops,Equipment,Codeshare Flts
FM,825,PVG,TOY,925,1255, 2   6 ,2:30,1542,0,737,MU 9825
FM,832,HKT,PVG,20,640,7,5:20,3533,0,738,"MU 9832,DL 6352"
FM,862,KUL,PVG,155,730,1234567,5:35,3795,0,73H,"MU 9862,DL 6371"
FM,875,PVG,MFM,925,1225,3,3:00,1289,0,738,MU 9875
FM,9064,TSN,SHA,1715,1915,123 567,2:00,953,0,738,MU 9064
FM,9069,PVG,TSN,2235,55,3,2:20,975,0,738,"MU 9069,DL 6732"
FM,9082,XMN,PVG,1735,1935,1234567,2:00,818,0,733,MU 9082
FM,9152,PEK,HGH,1320,1540,1 3 5 7,2:20,1147,0,738,MU 9152
FM,9168,HET,PVG,730,1010,4,2:40,1402,0,738,MU 9168
FM,9184,YNT,HSN,1445,1630,1234567,1:45,866,0,738,MU 9184
FM,9185,SHA,SHE,1620,1855,1234 6 ,2:35,1176,0,738,MU 9185
FM,9188,SHE,PVG,1430,1715,1234567,2:45,1176,0,738,"MU 9188,DL 6727"
FM,9209,SHA,NNG,1455,1745,1,2:50,1614,0,737,MU 9209
FM,9215,PVG,ZUH,1545,1835,1 3 56 ,2:50,1315,0,73H,MU 9215
FM,9303,PVG,CAN,900,1135,123 5 7,2:35,1202,0,73H,MU 9303
FM,9307,SHA,CAN,730,1000,1 34 6 ,2:30,1175,0,333,MU 9307
FM,9312,CAN,PVG,1305,1535,1234567,2:30,1202,0,73H,"MU 9312,DL 6730"
FM,9314,CAN,SHA,1330,1550,1234567,2:20,1175,0,738,MU 9314
FM,9332,SZX,SHA,1230,1445,67,2:15,1207,0,333,MU 9332
FM,9339,PVG,NNG,715,1035,1234567,3:20,1648,0,738,MU 9339
FM,9353,PVG,WEH,1025,1230,1234567,2:05,673,0,738,"MU 9353,DL 6343"
FM,9362,CSX,SHA,1955,2140,1234567,1:45,851,0,738,MU 9362
FM,9365,PVG,YIH,730,930,1,2:00,987,0,73H,MU 9365
FM,9367,PVG,SHE,850,1125,4,2:35,1176,0,737,MU 9367
FM,9369,PVG,KWL,1815,2050,3,2:35,1324,0,733,MU 9369
FM,9383,PVG,NNG,2135,40,3,3:05,1648,0,733,"MU 9383,DL 6377"
FM,9386,NNG,PVG,1240,1540,234,3:00,1648,0,73H,"MU 9386,DL 6380"
FM,9397,PVG,CSX,935,1140, 2 4 6 ,2:05,890,0,738,MU 9397
FM,9403,SHA,CTU,1510,1820,1234567,3:10,1659,0,737,MU 9403
FM,9424,CKG,SHA,2015,2240,  34 6 ,2:25,1416,0,73H,MU 9424
FM,9425,SHA,CKG,1720,2010,1234567,2:50,1416,0,738,MU 9425
FM,9458,KWE,SHA,1610,1845,1234567,2:35,1503,0,738,MU 9458
FM,9467,CGO,LHW,1520,1710, 2 4 6 ,1:50,950,0,738,MU 9467
FM,9502,SWA,SHA,2000,2200, 2 4 6 ,2:00,974,0,738,MU 9502
FM,9535,SHA,XMN,650,840,1,1:50,803,0,738,MU 9535
FM,9549,SHA,CTU,1610,1925,234,3:15,1659,0,333,MU 9549
FM,9550,CTU,SHA,2045,2340,67,2:55,1659,0,737,MU 9550
FM,9568,CGO,PVG,2230,25,1 3 5 7,1:55,832,0,737,MU 9568
FM,9573,SHA,YNT,1235,1430,1234567,1:55,719,0,738,MU 9573
FM,9591,PVG,TOY,1005,1340,   4  7,2:35,1542,0,737,
FM,9070,TSN,PVG,740,945,1   5  ,2:05,975,0,73H,"MU 9070,DL 6733"
FM,9103,SHA,PEK,1330,1555,1234567,2:25,1075,0,737,MU 9103
FM,9146,YCU,PVG,2100,2310,  3   7,2:10,1093,0,738,MU 9146
FM,9172,HRB,PVG,1155,1500,  3  67,3:05,1654,0,73H,"MU 9172,DL 6725"
FM,9193,PVG,SHE,1400,1625,3,2:25,1176,0,733,MU 9193
FM,9205,SHA,FOC,655,825,1234567,1:30,605,0,738,MU 9205
FM,9207,SHA,XIY,1610,1850,1234567,2:40,1228,0,738,MU 9207
FM,9216,ZUH,SHA,1935,2210,1 3    ,2:35,1291,0,73H,MU 9216
FM,9221,LHW,URC,2200,50,1234567,2:50,1593,0,738,MU 9221
FM,9251,SHA,HAK,955,1250, 2 45 7,2:55,1656,0,73H,MU 9251
FM,9252,HAK,PVG,1410,1700,1  4 6 ,2:50,1683,0,737,"MU 9252,DL 6731"
FM,9304,CAN,SHA,1130,1350,123 5 7,2:20,1175,0,333,MU 9304
FM,9324,CGO,PVG,2000,2205,1  4  7,2:05,832,0,73H,MU 9324
FM,9331,SHA,SZX,800,1030,12345,2:30,1207,0,737,MU 9331
FM,9333,SHA,SZX,1300,1530,12 4567,2:30,1207,0,73H,MU 9333
FM,9345,PVG,CGO,745,1005,5,2:20,832,0,738,MU 9345
FM,9370,KWL,PVG,2140,5,3,2:25,1324,0,733,MU 9370
FM,9375,SHA,CGO,1530,1730,1234567,2:00,792,0,321,MU 9375
FM,9377,PVG,ZHA,1840,2130, 2 45  ,2:50,1585,0,73H,MU 9377
FM,9389,CGO,TLQ,1200,1615, 2 4 6 ,4:15,2332,0,737,MU 9389
FM,9398,KMG,CSX,1610,1815,1234567,2:05,1077,0,738,MU 9398
FM,9399,SHA,CSX,1015,1215,1,2:00,851,0,733,MU 9399
FM,9426,CKG,SHA,2120,2345,1234567,2:25,1416,0,738,MU 9426
FM,9507,JNG,FOC,1155,1355, 2 4 6 ,2:00,1085,0,73H,MU 9507
FM,9509,PVG,MDG,1615,1910,4,2:55,1633,0,737,MU 9509
FM,9516,WNZ,SHA,1845,1955,1234567,1:10,367,0,738,MU 9516
FM,9526,WNZ,PVG,1545,1700,6,1:15,370,0,738,"MU 9526,DL 6360"
FM,9527,PVG,CAN,1610,1840,1 34 6 ,2:30,1202,0,738,MU 9527
FM,9532,HAK,PVG,2050,2340,1,2:50,1683,0,738,MU 9532
FM,9538,SYX,SHA,1115,1420,1234567,3:05,1867,0,321,MU 9538
